Paper_Number,Full_citation,Journal,Type_of_paper,Lead_author_discipline,Briefly_what_is_this_paper_about?,Type_of_salmon,Region,State_Country,Location,Essential_notes,Benefit_1,Benefit_2,Benefit_3,Benefit_4,Benefit_5,Benefit_6,Benefit_7,Benefit_8,Benefit_9,Benefit_10,Benefit_11,Benefit_12,Benefit_13,Benefit_14,Benefit_15,Benefit_16,Benefit_17,Benefit_18,Benefit_19,Benefit_20,Benefit_21,Benefit_22,Benefit_23,Benefit_24,Benefit_25,Benefit_26,Benefit_27,Benefit_28,Benefit_29,Benefit_30,Benefit_31,Benefit_32,Benefit_33,Benefit_34,Benefit_35,Benefit_36,Benefit_37,Benefit_38,Benefit_39,Benefit_40,Benefit_41,Benefit_42,Benefit_43,Benefit_44,Benefit_45,Benefit_46,Benefit_47,Benefit_48,Benefit_49,Benefit_50,Benefit_51,Benefit_52,Benefit_53,Benefit_54,Benefit_55,Benefit_56,Benefit_57,Benefit_58,Benefit_59,Benefit_60,Benefit_61,Benefit_62,Benefit_63,Benefit_64,Benefit_65,Benefit_66,Benefit_67,Benefit_68,Benefit_69,Benefit_70
1,"Scheuerell, M., Moore, J., Schindler, D., & Harvey, C. (2007). Varying effects of anadromous sockeye salmon on the trophic ecology of two species of resident salmonids in southwest Alaska. Freshwater Biology, 52(10), 1944-1956.",Freshwater Biology,Observational & modelling,Aquatic and Fisheries Science,"Determining bionenergetics input of sockeye salmon to rainbow trout and arctic grayling in Bristol Bay, AK.",Sockeye,PNW_USA,"AK, USA","Bristol Bay, AK","-Benefit 16-20 describe the 4 key results from this paper; direct consumption is more important for rainbow trout, indirect consumption is more important for Arctic grayling","ESB: Rainbow trout
ESP: salmon eggs, flesh, carcasses --> blowflies
Sentence describing benefit: ""Ration size and energy intake increased by 480–620% for both species after salmon arrived...[R]ainbow trout switched to consuming salmon eggs, salmon flesh and blowflies that colonized salmon carcasses"" (1944)","ESB: Arctic grayling
ESP: redd construction --> benthic invertebrates
Sentence describing benefit: ""Ration size and energy intake increased by 480–620% for both species after salmon arrived...[G]rayling primarily ate more benthic invertebrates that were presumably made available because of physical disturbances by spawning salmon."" (1944)","ESB: Periphyton, macroinvertebrates, fish
ESP: Anadromous salmon
Sentence describing benefit: ""Because adult salmon gain >95% of their biomass at sea, the nutrients and carbon transported upstream in adults represent substantial subsidies that contribute to the production of periphyton, macroinvertebrates and fish (e.g. Kline et al., 1990; Bilby et al., 1998; Wipfli, Hudson & Caouette, 1998; Chaloner & Wipfli, 2002; Wipfli et al., 2003; Mitchell & Lamberti, 2005)."" (1945)","ESB: Terrestrial wildlife
ESP: Salmon eggs and carcasses
Sentence describing benefit: ""Terrestrial wildlife, such as birds, mammals and insects also consume salmon eggs and carcasses (Cederholm et al., 1989; Willson, Gende & Marson, 1998; Gende et al., 2002)."" (1945)","ESB: Riparian vegetation
ESP: salmon carcasses --> bears
Sentence describing benefit: ""Largely through the action of bears (Ursus arctos Linnaeus, U. americanus Pallas), salmon carcasses are transported into riparian areas where their nutrients ultimately make their way into vegetation (Ben-David, Hanley & Schell, 1998; Hilderbrand et al., 1999; Helfield & Naiman, 2006). "" (1945)","ESB: marine mammals and fish
ESP: smolts
Sentence describing benefit: ""Juvenile salmon (smolts) rearing in fresh water also transport nutrients back to the sea (Moore & Schindler, 2004; Scheuerell et al., 2005) and provide food subsidies to marine mammals and fish upon their entry into the estuary and ocean (Wood et al., 1993; Orr et al., 2004). "" (1945)","ESB: Freshwater ecosystems, fish species
ESP: Spawning adult salmon
Sentence describing benefit: ""Some studies have shown that salmon can account for 30–75% of the nitrogen source in freshwater ecosystems (Naiman et al., 2002). Fish such as sculpin (Cottus spp.), char (Salvelinus spp.) and trout (Oncorhynchus spp.), that reside in streams used by spawning adult salmon, often have high stable isotope ratios indicating the accumulation of marine-derived nutrients (Kline et al., 1990, 1993; Chaloner et al., 2002)."" (1945)","ESB: Juvenile salmonids
ESP: salmon carcasses
Sentence describing benefit: ""the experimental addition of carcasses has shown seasonal increases in the growth rates of juvenile salmonids (Wipfli et al., 2003)."" (1945)","ESB: Rainbow trout
ESP: salmon eggs, flesh, blowflies
Sentence describing benefit: ""After the arrival of salmon, rainbow trout diets shifted to consist primarily of salmon eggs (64%), larval blowflies (Diptera: Calliphoridae) (11%) and salmon flesh (9%)."" (1948)","ESB: Grayling and rainbow trout
ESP: Arrival of sockeye salmon
Sentence describing benefit: ""Following the arrival of salmon on their freshwater spawning grounds, the diets of resident grayling and rainbow trout shifted to include direct salmon resources and indirect subsidies, significantly increasing the total mass and energy content of their food intake over a few weeks."" (1950)","ESB: Rainbow trout and grayling
ESP: Eggs and blowflies
Sentence describing benefit: ""These salmon-derived resources represented not only an increase in food quantity, but also an increase in food quality because of the relatively high energy densities of salmon eggs and larval blowflies that feed on salmon carcasses (Table 1)."" (1950)","ESB: juvenile coho and steelhead
ESP: coho salmon carcasses
Sentence describing benefit: ""Bilby et al. (1998) demonstrated that the additions of coho salmon (Oncorhynchus kisutch Walbaum) carcasses to small streams in southwestern Washington led to increased density and body condition of juvenile coho and steelhead (O. mykiss), and that eggs and salmon flesh dominated the diets of those fish during the 1 month they were available. "" (1950)","ESB: juvenile cutthroat trout
ESP: salmon carcasses
Sentence describing benefit: ""Following the addition of salmon carcasses to small experimental stream channels in southeast Alaska, Wipfli et al. (2003) found significant increases in the growth rates of juvenile cutthroat trout (Oncorhynchus clarkii Richardson) and Dolly Varden (Salvelinus malma Walbaum)"" (1951)","ESB: Juvenile rainbow and cutthroat trout
ESP: Chinook carcasses
Sentence describing benefit: ""Recently, Wilzbach et al. (2005) found that additions of chinook salmon (Oncorhynchus tshawytscha Walbaum) carcasses had some positive effect on the growth rates of young rainbow and cutthroat trout, but only in stream reaches where the riparian vegetation had been cut."" (1951)","ESB: Freshwater ecosystems
ESP: Spawning salmon
Sentence describing benefit: ""This is very important because salmon are more than simple bags of nutrients, but rather serve as ecosystem engineers via the large disturbance of sediments and benthic invertebrates (Moore et al., 2004; Moore, 2006) while altering the foraging behaviour of stream fish (M.D. Scheuerell, J.W. Moore, D.E. Schindler, pers. obs)"" (1951)","ESB: stream-resident fish
ESP: salmon eggs and carcasses
Sentence describing benefit: ""stream-resident fish directly consume the eggs and carcasses of salmon"" (1951)","ESB: benthic macroinvertebrates
ESP: salmon carcasses
Sentence describing benefit: ""Secondly, a wide variety of benthic macroinvertebrates, including mayflies (Ephemeroptera), stoneflies (Plecoptera), caddisflies (Tricoptera) and true flies (Diptera), colonize carcasses within the stream and feed off of them directly (Wipfli et al., 1998; Reimchen et al., 2003; Winder et al., 2005)."" (1951)","ESB: fish
ESP: salmon carcasses, blowflies
Sentence describing benefit: ""terrestrial blowflies (Diptera: Calliphoridae) will lay their eggs on carcasses stranded on gravel bars or the shoreline, with an average of 35 000 larval blowflies per sockeye salmon carcass typically devouring it within a week (Meehan, Seminet-Reneau & Quinn, 2005). Some of those larval blowflies are then washed into the streams and rivers because of floods or disturbance by bears, where they serve as food resources for fish (Cederholm et al., 1989; Meehan et al., 2005)."" (1951)","ESB: benthic invertebrates, fish
ESP: carcasses
Sentence describing benefit: ""Thirdly, nutrients from decomposing carcasses can increase stream primary productivity, subsequently leading to a greater biomass of the benthic invertebrates that fish feed upon (Wipfli et al., 1998; Minakawa & Gara, 1999; Chaloner & Wipfli, 2002). "" (1951)","ESB: Fish
ESP: Stream disturbance by spawning salmon
Sentence describing benefit: ""Fourthly, nest-digging by adult salmon dislodges benthic invertebrates that are subsequently consumed by fish (Peterson & Foote, 2000)."" (1951)","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:"
2,"Chaloner, D., Lamberti, G., Merritt, R., Mitchell, N., Ostrom, P., & Wipfli, M. (2004). Variation in responses to spawning Pacific salmon among three south-eastern Alaska streams. Freshwater Biology, 49(5), 587-599.",Freshwater Biology,Observational,Biological Sciences,Determining effect of spawning salmon on streamwater chemistry and benthic biota in 3 streams in southeastern AK.,"Chum, chinook, coho, stealhead, pink",PNW_USA,"AK, USA","Fish Creek (58°19′N, 134°35′W), Peterson Creek (58°28′N, 134°44′W) and Salmon Creek (58°19′N, 134°27′W), near Juneau, south-eastern Alaska","-Authors found inter-stream variation such that they argue the following: ""Global assumptions about influence of salmon spawners on streams (e.g. the ‘MDN-productivity paradigm’) cannot be made."" (596)","ESB: Benthic producers and consumers
ESP: Pacific salmon
Sentence describing benefit: ""Salmon spawners in general, and salmon tissue specifically, can increase the abundance or biomass of benthic producers and consumers (e.g. Wipfli et al., 1999; Chaloner & Wipfli, 2002) and increase dissolved ammonium and phosphorus concentrations (e.g. Bilby, Fransen & Bisson, 1996; Minakawa & Gara, 1999)."" (588)","ESB: Aquatic organisms
ESP: Pacific salmon
Sentence describing benefit: ""Furthermore, stable isotope studies show that salmon can be an important source of nitrogen and carbon for aquatic organisms (e.g. Bilby et al., 1996; Chaloner et al., 2002)."" (588)","ESB: Streamwater chemistry
ESP: Spawning salmon
Sentence describing benefit: ""Ammonium and SRP [soluble reactive phosphorus] concentrations were significantly higher in stream reaches containing salmon spawners than in reaches lacking spawners (P < 0.002; Fig. 3)"" (592)","ESB: stream productivity
ESP: spawning salmon
Sentence describing benefit: ""Epilithic chlorophyll a and AFDM [ash-free dry mass] were both significantly higher in stream reaches containing salmon spawners (P < 0.01; Fig. 4)"" (592)","ESB: chironomids (macroinvert species)
ESP: spawning salmon
Sentence describing benefit: ""Of the individual taxa analysed, only the biomass of chironomids was significantly higher in stream reaches containing salmon spawners (P < 0.001; Fig. 5b)."" (592)","ESB: chironomids
ESP: salmon carcasses
Sentence describing benefit: ""In previous studies, chironomids responded positively to the addition to streams of organic and inorganic material (e.g. Warren et al., 1964; Mundie et al., 1991) including salmon carcasses (e.g. Wipfli et al., 1999)."" (594)","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:"
3,"Lessard, J., Merritt, R., & Cummins, K. (2003). Spring growth of caddisflies (Limnephilidae : Trichoptera) in response to marine-derived nutrients and food type in a Southeast Alaskan stream. Annales De Limnologie, 39(1), 3-14.",Annales de Limnologie,Experiment,Entomology,"Determining effect of salmon presence and food source on growth of caddisflies (shredders and scrapers) in Harris River on Prince of Wales Island, Southeast Alaska.","Pink, chum",PNW_USA,"AK, USA","Harris River, Southeast AK",-Authors found no influence of marine-derived nutrients (MDN) on the caddisflies over the 40 experimental period.,"ESB: Trichopterans
ESP: salmon carcasses
Sentence describing benefit: ""Trichopterans have been shown to feed on salmon and other fish carcasses and there is evidence for greater growth rates in the presence of salmon tissue"" (3)","ESB: Trichopterans
ESP: salmon carcasses
Sentence describing benefit: ""Minakawa (1997) found greater growth in trichopterans directly feeding on MDN (i.e., salmon carcasses). "" (4)","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:"
4,"Lewis, D., Dundas, S., Kling, D., Lew, D., & Hacker, S. (2019). The non-market benefits of early and partial gains in managing threatened salmon. PloS One, 14(8), E0220260.",PLoS One,Survey,Economics,Preference choice experiment to determine benefit of partial gains (i.e. not full recovery) for coho populations along the Oregon Coast.,Coho,PNW_USA,"OR, USA",Oregon Coast,"-Authors call these non-use, non-market values, but survey only asked for WTP not why.","ESB: College graduates
ESP: increased coho returns
Sentence describing benefit: "" In particular, college graduates are WTP approximately $31/y more per 100,000 returning fish than those without a college degree. "" (9)","ESB: PNW residents
ESP: increasing coho populations
Sentence describing benefit: ""We find that benefits to the population of Pacific Northwest residents are as much as $518 million/y for an extra 100,000 returning salmon and as much as $277 million/y for quick vs. slow increases in returning fish."" (10)","ESB: PNW residents
ESP: coho conservation
Sentence describing benefit: ""We find that the average household WTP for the most ambitious recovery program-one that involves OC Coho salmon reaching recovered status under the ESA-is $179/y. ... Given that the most ambitious recovery program in our experimental design is based on the OC Coho Conservation Plan for the State of Oregon [10], the population benefit estimates represent the non-market economic value associated with successfully implementing this state-level conservation plan."" (11)","ESB: public
ESP: habitat restoration
Sentence describing benefit: ""Importantly, we also find that the public has significant WTP for habitat restoration programs that generate much smaller changes in salmon abundance, even for programs that do not result in the stock becoming de-listed from the ESA."" (11)","ESB: public
ESP: rapid salmon returns
Sentence describing benefit: ""A second important and novel finding from this study is clear quantitative evidence that the public prefers receiving non-market benefits from OC Coho salmon sooner rather than later. Holding other conservation attributes constant, the average household WTP for a quick rate of increase in salmon returns is up to $34/y (Fig 3 ), contingent on the levels of the other program attributes."" (11)","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:","ESB:
ESP:
Sentence describing benefit:"
